x,y,label,cluster_size
-2.978902921,139.9758236,-1,0
-1.745698207,136.1741345,-1,0
-2.47187827,139.0031673,-1,0
-3.332129702,140.68326,-1,0
-2.746968115,136.7281855,-1,0
-2.489622175,137.969067,-1,0
-2.659352509,140.8088975,-1,0
-0.909947127,133.8525083,21,3
-2.003098184,133.3085112,-1,0
-2.822811163,134.3744873,-1,0
-1.594177365,133.9720889,21,3
-1.195343672,133.7337841,21,3
-7.840149446,139.7043403,-1,0
-3.460215556,137.8437573,-1,0
-4.500496207,136.6938857,-1,0
-4.016855394,135.6675994,-1,0
-3.536386868,136.7448081,-1,0
-4.517497224,140.5326952,-1,0
-4.489206431,139.6032507,-1,0
-1.116590747,131.5644872,-1,0
-0.870476755,131.3378379,-1,0
